B1,B2,B3,B4,B5,B6,Sector
-63,-76,-86,-76,-76,-75,2
-73,-66,-79,-81,-81,-66,2
-70,-76,-69,-73,-74,-64,2
-68,-66,-69,-67,-73,-66,2
-67,-68,-68,-66,-78,-76,2
-71,-78,-69,-70,-70,-72,2
-68,-67,-69,-70,-71,-78,2
-67,-78,-69,-70,-68,-76,2
-64,-67,-69,-66,-73,-76,2
-66,-78,-68,-66,-72,-76,2
-66,-69,-89,-66,-73,-74,2
-83,-79,-85,-69,-68,-80,2
-82,-67,-82,-69,-68,-84,2
-81,-76,-84,-72,-75,-81,2
-78,-66,-78,-77,-77,-79,2
-68,-77,-81,-78,-80,-65,2
-69,-66,-77,-76,-73,-65,2
-68,-77,-77,-67,-71,-65,2
-68,-66,-75,-76,-71,-65,2
-66,-76,-75,-76,-68,-76,2
-70,-63,-70,-72,-68,-74,2
-77,-74,-74,-66,-68,-65,2
-63,-63,-74,-68,-70,-65,2
-68,-73,-68,-67,-71,-64,2
-71,-74,-67,-73,-71,-74,2
-77,-62,-66,-73,-69,-73,2
-73,-73,-68,-73,-68,-86,2
-71,-72,-66,-75,-68,-85,2
-75,-84,-66,-74,-77,-86,2
-68,-76,-67,-75,-78,-65,2
-77,-80,-65,-75,-70,-66,2
-71,-77,-64,-76,-69,-84,2
-73,-90,-62,-77,-79,-82,2
-70,-81,-61,-81,-80,-71,2
-72,-83,-61,-71,-76,-70,2
-71,-64,-61,-71,-75,-70,2
-72,-67,-62,-70,-78,-69,2
-68,-75,-68,-73,-76,-68,2
-69,-64,-68,-67,-76,-71,2
-68,-70,-67,-66,-64,-72,2
-67,-82,-66,-70,-72,-73,2
-70,-71,-66,-70,-72,-71,2
-72,-72,-79,-69,-90,-72,3
-75,-63,-73,-69,-87,-72,3
-73,-83,-66,-69,-80,-73,3
-72,-77,-68,-66,-70,-74,3
-76,-87,-68,-70,-73,-69,3
-80,-74,-67,-74,-74,-71,3
-78,-84,-67,-79,-71,-73,3
-77,-72,-67,-73,-68,-80,3
-71,-73,-62,-73,-67,-82,3
-71,-73,-71,-74,-71,-81,3
-72,-64,-71,-77,-71,-72,3
-73,-57,-73,-70,-75,-72,3
-76,-67,-69,-77,-74,-72,3
-76,-57,-62,-78,-64,-69,3
-75,-67,-65,-78,-67,-69,3
-85,-57,-66,-76,-68,-75,3
-82,-77,-67,-73,-68,-74,3
-82,-66,-72,-76,-71,-70,3
-77,-74,-80,-78,-73,-71,3
-75,-61,-76,-76,-68,-71,3
-73,-72,-72,-78,-68,-71,3
-72,-62,-71,-80,-68,-70,3
-76,-74,-70,-78,-68,-70,3
-76,-63,-72,-75,-69,-82,3
-76,-77,-76,-82,-69,-83,3
-77,-67,-78,-81,-69,-84,3
-76,-77,-80,-82,-69,-71,3
-75,-67,-80,-76,-68,-70,3
-75,-77,-81,-76,-68,-85,3
-75,-67,-62,-71,-69,-82,3
-74,-76,-62,-76,-72,-71,3
-77,-66,-62,-71,-73,-71,3
-77,-76,-62,-82,-70,-71,3
-77,-60,-67,-81,-71,-70,3
-77,-70,-66,-85,-70,-70,3
-77,-60,-66,-75,-69,-78,3
-77,-70,-65,-76,-73,-81,3
-76,-59,-66,-83,-71,-72,3
-75,-70,-66,-71,-76,-73,3
-73,-60,-66,-70,-66,-78,3
-74,-70,-70,-74,-65,-74,3
-76,-65,-62,-78,-67,-74,3
-78,-76,-63,-72,-72,-70,3
-80,-78,-62,-71,-68,-78,3
-77,-66,-61,-82,-64,-73,3
-74,-74,-62,-78,-70,-76,3
-77,-65,-61,-84,-70,-73,3
-73,-76,-61,-74,-65,-73,3
-74,-71,-71,-73,-66,-70,3
-82,-61,-71,-75,-71,-70,3
-78,-71,-71,-82,-71,-74,3
-69,-61,-72,-78,-71,-71,3
-82,-71,-73,-77,-71,-72,3
-81,-61,-72,-84,-70,-71,3
-75,-70,-72,-85,-69,-80,3
-72,-64,-73,-88,-67,-83,3
-70,-74,-66,-89,-67,-80,3
-68,-63,-64,-84,-68,-75,3
-68,-74,-66,-73,-72,-73,3
-76,-74,-66,-72,-73,-72,3
-77,-63,-67,-84,-74,-90,3
-68,-74,-67,-86,-69,-96,3
-72,-63,-67,-85,-67,-72,3
-70,-77,-66,-73,-68,-73,3
-72,-66,-74,-72,-67,-74,3
-69,-75,-74,-73,-68,-76,3
-76,-74,-73,-81,-71,-74,3
-77,-64,-72,-76,-70,-74,3
-76,-74,-72,-78,-71,-83,3
-76,-65,-71,-92,-69,-83,3
-85,-74,-72,-84,-69,-83,3
-80,-62,-67,-76,-68,-74,3
-77,-73,-67,-76,-70,-74,3
-67,-63,-68,-76,-70,-73,3
-72,-74,-69,-81,-70,-84,3
-77,-64,-68,-88,-69,-83,3
-77,-74,-68,-77,-67,-74,3
-78,-63,-68,-77,-67,-74,3
-76,-77,-68,-76,-68,-75,3
-78,-67,-62,-77,-74,-73,3
-73,-77,-62,-76,-67,-71,3
-73,-67,-62,-77,-67,-73,3
-73,-77,-62,-76,-67,-73,3
-74,-66,-62,-76,-74,-74,3
-73,-77,-62,-78,-73,-72,3
-72,-70,-62,-80,-68,-73,3
-72,-60,-73,-71,-68,-73,3
-73,-70,-74,-71,-68,-82,3
-78,-70,-72,-71,-67,-82,3
-80,-60,-73,-73,-67,-82,3
-78,-70,-77,-85,-67,-73,3
-73,-59,-76,-75,-70,-74,3
-76,-76,-72,-76,-69,-80,3
-74,-60,-72,-83,-70,-80,3
-74,-70,-61,-71,-68,-80,3
-77,-60,-61,-70,-90,-72,3
-76,-60,-63,-74,-80,-87,3
-76,-70,-64,-78,-70,-82,3
-74,-60,-64,-72,-73,-81,3
-72,-71,-63,-71,-74,-72,3
-75,-75,-67,-77,-70,-76,4
-84,-59,-68,-78,-79,-67,4
-70,-69,-66,-85,-72,-71,4
-69,-71,-64,-74,-70,-72,4
-69,-56,-66,-81,-69,-71,4
-73,-67,-62,-77,-67,-72,4
-76,-55,-61,-67,-67,-68,4
-74,-68,-61,-66,-84,-67,4
-74,-58,-64,-67,-83,-67,4
-76,-69,-80,-78,-68,-88,4
-77,-58,-65,-82,-67,-79,4
-78,-69,-67,-84,-67,-72,4
-80,-58,-68,-71,-70,-71,4
-68,-70,-69,-70,-76,-66,4
-69,-60,-70,-74,-87,-69,4
-68,-71,-67,-73,-70,-71,4
-77,-61,-67,-73,-69,-72,4
-69,-73,-67,-75,-71,-71,4
-70,-64,-68,-86,-69,-75,4
-72,-72,-67,-77,-72,-80,4
-69,-60,-66,-72,-71,-70,4
-70,-60,-66,-84,-72,-71,4
-71,-70,-65,-81,-77,-76,4
-70,-60,-64,-80,-76,-76,4
-73,-64,-64,-73,-76,-75,4
-72,-74,-70,-75,-72,-72,4
-73,-62,-70,-73,-71,-70,4
-75,-71,-71,-74,-72,-70,4
-88,-60,-71,-73,-67,-69,4
-70,-70,-70,-76,-67,-71,4
-72,-59,-71,-74,-79,-73,4
-73,-59,-73,-76,-75,-74,4
-87,-67,-76,-76,-72,-67,4
-80,-57,-65,-78,-66,-68,4
-82,-68,-70,-77,-67,-81,4
-80,-58,-62,-72,-67,-71,4
-78,-70,-60,-77,-90,-72,4
-80,-59,-61,-74,-74,-74,4
-80,-79,-61,-76,-76,-80,4
-70,-66,-61,-80,-71,-72,4
-71,-71,-62,-88,-74,-72,4
-72,-57,-61,-70,-71,-72,4
-78,-65,-62,-69,-83,-83,4
-77,-57,-62,-68,-85,-86,4
-76,-67,-62,-69,-77,-87,4
-74,-57,-62,-67,-72,-76,4
-71,-70,-63,-67,-72,-83,4
-72,-60,-72,-71,-73,-74,4
-71,-59,-76,-76,-79,-82,4
-71,-70,-72,-71,-79,-70,4
-77,-58,-74,-72,-78,-74,4
-78,-70,-70,-67,-75,-79,4
-76,-68,-70,-70,-91,-70,4
-76,-68,-68,-76,-78,-70,4
-77,-64,-68,-76,-78,-71,4
-73,-76,-63,-77,-77,-71,4
-74,-60,-62,-67,-68,-71,4
-70,-70,-61,-67,-69,-74,4
-76,-70,-62,-67,-68,-75,4
-72,-67,-61,-76,-77,-74,4
-74,-65,-62,-77,-77,-73,4
-75,-80,-61,-78,-76,-69,4
-69,-67,-61,-78,-67,-66,4
-70,-79,-66,-75,-67,-70,4
-69,-70,-68,-78,-67,-66,4
-71,-62,-68,-77,-70,-63,4
-70,-72,-67,-77,-69,-66,4
-69,-62,-67,-76,-77,-66,4
-76,-63,-68,-74,-69,-67,4
-78,-73,-68,-79,-70,-72,4
-77,-62,-62,-87,-72,-67,4
-93,-72,-61,-78,-80,-66,4
-86,-57,-61,-78,-78,-67,4
-76,-67,-61,-79,-67,-73,4
-72,-57,-62,-76,-70,-66,4
-77,-67,-61,-73,-67,-97,4
-74,-57,-61,-80,-66,-71,4
-74,-68,-66,-83,-73,-74,4
-73,-57,-65,-80,-67,-73,4
-80,-67,-66,-76,-76,-68,4
-81,-57,-65,-82,-82,-64,4
-80,-75,-65,-80,-76,-99,4
-70,-62,-64,-76,-71,-65,4
-69,-72,-64,-68,-66,-78,4
-69,-71,-64,-67,-70,-72,4
-69,-60,-66,-79,-71,-76,4
