B1,B2,B3,B4,B5,B6,Sector
-73,-76,-76,-98,-88,-77,1
-73,-82,-84,-99,-81,-93,1
-89,-82,-76,-60,-82,-83,1
-81,-82,-84,-90,-80,-84,1
-79,-84,-81,-57,-86,-87,1
-73,-82,-88,-88,-85,-90,1
-69,-94,-80,-89,-83,-88,1
-69,-85,-91,-57,-84,-77,1
-96,-88,-82,-89,-83,-82,1
-94,-85,-96,-90,-79,-78,1
-82,-87,-92,-96,-79,-78,1
-74,-90,-82,-94,-77,-80,1
-73,-91,-84,-92,-76,-80,1
-77,-92,-78,-61,-78,-83,1
-73,-92,-84,-94,-84,-90,1
-72,-96,-81,-94,-79,-75,1
-72,-94,-86,-89,-76,-80,1
-72,-88,-81,-90,-76,-81,1
-81,-84,-87,-59,-76,-83,1
-81,-90,-80,-91,-87,-79,1
-80,-93,-87,-90,-82,-79,1
-80,-85,-80,-59,-88,-78,1
-81,-78,-86,-91,-87,-80,1
-74,-91,-80,-58,-94,-81,1
-72,-90,-85,-93,-82,-80,1
-72,-96,-76,-94,-93,-78,1
-80,-94,-83,-63,-81,-76,1
-78,-94,-77,-62,-83,-76,1
-79,-80,-84,-94,-78,-77,1
-77,-84,-84,-72,-78,-87,1
-78,-82,-80,-98,-77,-87,1
-76,-80,-91,-96,-80,-86,1
-72,-83,-78,-65,-82,-82,1
-72,-79,-85,-94,-78,-83,1
-75,-91,-77,-64,-80,-83,1
-77,-86,-77,-96,-80,-85,1
-76,-89,-84,-96,-79,-80,1
-74,-85,-78,-94,-78,-83,1
-92,-89,-82,-93,-79,-82,1
-86,-88,-89,-63,-85,-88,1
-82,-94,-81,-93,-91,-90,1
-78,-91,-86,-96,-89,-77,1
-78,-94,-81,-63,-92,-78,1
-80,-82,-83,-94,-89,-78,1
-78,-85,-89,-94,-84,-83,1
-73,-82,-80,-64,-88,-83,1
-73,-85,-82,-98,-84,-78,1
-73,-82,-82,-98,-77,-81,1
-73,-85,-86,-67,-76,-95,1
-76,-82,-77,-98,-79,-81,1
-77,-85,-82,-98,-86,-81,1
-78,-80,-77,-67,-82,-82,1
-73,-85,-85,-97,-79,-85,1
-77,-80,-78,-65,-75,-83,1
-76,-83,-84,-95,-83,-82,1
-83,-80,-78,-98,-77,-89,1
-78,-84,-85,-65,-83,-93,1
-81,-80,-78,-95,-82,-82,1
-82,-98,-85,-95,-85,-78,1
-81,-97,-78,-64,-79,-82,1
-82,-98,-84,-95,-83,-80,1
-80,-91,-77,-95,-77,-78,1
-81,-90,-78,-65,-84,-85,1
-83,-88,-84,-96,-81,-78,1
-83,-87,-78,-97,-80,-87,1
-82,-91,-84,-78,-81,-88,1
-80,-85,-77,-65,-78,-89,1
-80,-83,-85,-95,-87,-83,1
