B1,B2,B3,B4,B5,B6,Sector
-73,-77,-73,-100,-70,-81,2
-74,-81,-71,-76,-70,-78,2
-74,-74,-76,-74,-74,-78,2
-69,-75,-76,-73,-74,-101,2
-69,-85,-76,-70,-73,-66,2
-69,-71,-76,-70,-70,-66,2
-70,-86,-84,-70,-70,-66,2
-68,-72,-76,-72,-89,-68,2
-70,-78,-84,-72,-90,-68,2
-71,-74,-76,-73,-73,-69,2
-70,-80,-79,-70,-74,-68,2
-69,-73,-75,-70,-76,-67,2
-68,-81,-78,-69,-78,-66,2
-70,-73,-76,-70,-80,-100,2
-70,-72,-72,-69,-71,-68,2
-78,-79,-73,-71,-73,-68,2
-76,-71,-71,-70,-80,-80,2
-76,-77,-74,-72,-72,-82,2
-71,-70,-71,-70,-73,-79,2
-71,-78,-74,-69,-73,-66,2
-72,-71,-71,-70,-78,-66,2
-70,-77,-74,-72,-80,-67,2
-72,-69,-65,-72,-71,-65,2
-75,-80,-68,-100,-73,-66,2
-74,-72,-66,-68,-80,-71,2
-74,-81,-70,-70,-72,-71,2
-76,-74,-67,-69,-73,-71,2
-70,-82,-69,-68,-73,-74,2
-69,-73,-66,-80,-73,-72,2
-70,-80,-72,-75,-71,-72,2
-72,-72,-75,-71,-74,-68,2
-74,-72,-71,-69,-82,-70,2
-75,-74,-71,-75,-77,-69,2
-76,-82,-75,-67,-80,-68,2
-72,-77,-76,-100,-75,-80,2
-71,-83,-66,-68,-70,-75,2
-70,-74,-68,-70,-78,-71,2
-71,-81,-70,-70,-76,-69,2
-75,-74,-67,-69,-67,-75,2
-76,-81,-70,-66,-70,-67,2
-74,-74,-67,-99,-75,-71,2
-74,-80,-70,-65,-75,-69,2
-82,-76,-73,-72,-70,-79,3
-87,-72,-62,-74,-72,-78,3
-67,-77,-69,-73,-83,-70,3
-67,-67,-63,-73,-81,-70,3
-64,-73,-66,-71,-79,-70,3
-66,-66,-62,-73,-70,-72,3
-70,-72,-74,-71,-68,-71,3
-70,-63,-71,-74,-67,-73,3
-70,-75,-73,-77,-78,-72,3
-70,-66,-68,-76,-79,-71,3
-74,-72,-70,-69,-80,-85,3
-72,-68,-74,-71,-69,-88,3
-71,-81,-70,-100,-68,-88,3
-72,-81,-73,-65,-69,-67,3
-78,-83,-70,-70,-68,-67,3
-74,-77,-68,-70,-69,-67,3
-73,-82,-63,-79,-78,-84,3
-71,-74,-67,-82,-78,-93,3
-96,-85,-65,-80,-77,-90,3
-92,-77,-73,-70,-68,-68,3
-69,-71,-77,-70,-68,-69,3
-69,-64,-76,-71,-68,-75,3
-69,-70,-78,-83,-78,-76,3
-69,-62,-76,-82,-77,-78,3
-79,-70,-79,-81,-79,-86,3
-82,-70,-75,-67,-68,-85,3
-67,-63,-78,-67,-69,-73,3
-66,-86,-62,-67,-69,-71,3
-68,-83,-66,-68,-80,-74,3
-70,-70,-64,-72,-70,-77,3
-70,-67,-69,-79,-76,-81,3
-71,-73,-68,-73,-75,-70,3
-77,-68,-71,-75,-73,-71,3
-79,-76,-64,-72,-70,-73,3
-74,-73,-70,-75,-71,-71,3
-75,-80,-65,-74,-69,-73,3
-78,-73,-69,-73,-74,-70,3
-82,-82,-64,-77,-72,-77,3
-76,-75,-66,-74,-73,-79,3
-71,-82,-68,-79,-76,-78,3
-82,-84,-69,-72,-80,-83,3
-82,-72,-69,-74,-81,-82,3
-81,-79,-65,-70,-74,-80,3
-79,-72,-68,-69,-87,-76,3
-75,-79,-65,-70,-68,-84,3
-83,-71,-68,-73,-68,-84,3
-76,-79,-65,-72,-69,-70,3
-85,-72,-68,-74,-71,-70,3
-77,-79,-67,-69,-69,-70,3
-72,-69,-63,-69,-69,-71,3
-73,-77,-67,-69,-70,-76,3
-81,-70,-62,-73,-68,-70,3
-69,-69,-66,-73,-67,-71,3
-78,-77,-62,-73,-68,-73,3
-71,-69,-66,-73,-69,-69,3
-69,-77,-68,-73,-91,-82,3
-74,-74,-64,-69,-88,-85,3
-74,-81,-67,-69,-69,-69,3
-76,-74,-66,-74,-70,-70,3
-80,-81,-63,-76,-84,-93,3
-85,-74,-77,-72,-86,-68,3
-92,-82,-79,-74,-79,-68,3
-92,-74,-77,-68,-79,-71,3
-71,-68,-74,-69,-73,-72,3
-72,-73,-78,-71,-78,-80,3
-72,-78,-80,-77,-79,-82,3
-91,-72,-85,-76,-72,-73,3
-89,-78,-80,-71,-75,-73,3
-87,-77,-66,-71,-78,-82,3
-67,-82,-68,-79,-74,-80,3
-68,-71,-66,-80,-78,-80,3
-69,-80,-71,-79,-79,-68,3
-68,-86,-69,-78,-78,-68,3
-83,-77,-66,-100,-70,-68,3
-78,-66,-63,-68,-69,-88,3
-81,-76,-70,-68,-70,-67,3
